age,counts_pictures,counts_profileVisits,counts_kisses,flirtInterests_chat,flirtInterests_friends,flirtInterests_date,isVIP,isVerified,city,countDetails,flirtstar,freshman,hasBirthday,highlighted,distance,locked,mobile,online
23,5,297,4,0,0,1,0,0,323,0.620000005,0,0,0,0,425,0,1,1
20,8,18269,735,1,1,1,0,1,72,1,0,0,0,0,139,0,1,0
19,5,14676,1003,1,1,0,0,1,3,0.810000002,0,0,0,0,131,0,1,0
20,6,34942,1235,1,1,1,0,1,482,1,0,0,0,0,140,0,1,0
22,3,10921,729,1,1,1,0,0,353,0.850000024,0,0,0,0,54.70000076,0,1,1
23,4,34272,1046,1,0,0,0,1,132,0.460000008,0,0,0,0,493,0,1,1
21,5,5362,93,1,0,0,0,0,579,0.850000024,1,0,0,1,137,0,1,1
20,10,25724,862,1,0,0,0,0,733,0.5,0,0,0,0,190,0,0,1
21,4,13493,481,0,0,1,0,0,1098,0.649999976,0,0,0,0,159,0,1,0
20,19,22291,640,1,1,0,0,1,94,0.920000017,0,0,0,0,96.69999695,0,1,0
20,6,18459,1106,1,0,1,0,0,1055,0.349999994,0,0,0,0,142,0,1,0
21,22,13070,618,0,1,0,0,0,455,0.810000002,0,0,0,0,153,0,1,0
24,4,18114,1346,1,1,1,0,0,811,0,0,0,0,0,142,0,1,0
24,8,8009,271,1,1,1,0,1,506,0.850000024,0,0,0,0,172,0,1,0
24,8,24428,889,1,0,0,0,0,29,0.419999987,0,0,0,0,374,0,1,1
22,6,15870,906,1,0,0,0,1,94,0.620000005,0,0,0,0,77,0,0,0
21,3,5208,217,0,0,1,0,0,737,0.920000017,0,0,0,0,135,0,1,0
22,8,6029,200,1,1,1,0,1,1105,0.730000019,0,0,0,0,173,0,1,0
22,1,12359,239,0,0,0,0,0,1105,0.270000011,0,0,0,0,0,0,1,0
22,26,13894,317,1,1,0,0,0,818,0.920000017,0,0,0,0,122,0,1,0
22,10,13420,926,1,0,0,0,0,279,0.879999995,1,0,0,1,169,0,1,1
23,15,34282,2135,1,1,1,0,0,1105,0.540000021,0,0,0,0,173,0,1,0
23,4,8938,275,1,1,0,0,0,975,0.959999979,0,0,0,0,163,0,1,0
20,6,7451,132,1,1,1,1,0,1095,0.730000019,0,0,0,0,95.19999695,0,1,1
21,5,7256,157,1,1,1,0,1,876,0.920000017,0,0,0,0,170,0,1,0
23,9,4688,168,1,1,1,0,0,1044,0.850000024,0,0,0,0,201,0,1,1
22,14,12985,718,1,1,1,0,0,1105,0.540000021,0,0,0,0,160,0,1,0
20,5,8295,831,1,0,1,0,0,325,0.310000002,0,0,0,0,83,0,1,0
21,8,29112,837,0,1,0,0,1,1105,0.730000019,0,0,0,0,156,0,1,1
19,25,9119,163,0,0,0,1,1,105,0.230000004,0,0,0,0,0,0,1,0
23,4,8257,413,1,1,0,0,0,474,0.810000002,0,0,0,0,75.69999695,0,1,0
20,8,3882,149,1,0,0,1,1,94,0.879999995,0,0,0,0,82,0,0,0
24,2,8886,211,1,0,1,0,1,1065,0.689999998,0,0,0,0,183,0,1,0
23,9,8964,143,1,1,1,1,0,957,0.959999979,0,0,0,0,0,0,1,0
21,26,24371,1928,0,1,0,1,1,142,0.879999995,0,0,0,0,129,0,1,0
25,6,8081,303,1,1,1,0,0,69,0.850000024,0,0,0,0,120,0,1,0
22,9,21242,1004,1,1,1,0,0,1082,0.379999995,0,0,0,0,140,0,1,0
24,3,21368,844,1,1,0,0,0,728,1,0,0,0,0,428,0,1,1
26,2,399,55,0,1,0,0,0,652,0.230000004,0,0,0,0,61.29999924,0,0,1
20,10,14779,447,0,1,0,0,0,94,0.310000002,0,0,0,0,81.5,0,1,0
22,4,11305,321,1,1,1,0,0,1030,0.620000005,0,0,0,0,182,0,1,0
23,4,58944,3599,1,1,1,0,1,737,0.769999981,0,0,0,0,0,0,1,1
20,10,22846,656,1,1,1,0,1,371,0.850000024,0,0,0,0,93.59999847,0,1,0
25,8,9959,170,1,1,0,0,0,94,0.769999981,0,0,0,0,80.09999847,0,0,0
19,19,9992,697,1,1,0,0,1,94,0.959999979,0,0,0,0,77.69999695,0,1,0
21,1,6496,263,1,0,0,0,1,172,0.810000002,0,0,0,0,207,0,1,0
20,3,34818,1680,1,0,0,0,0,597,0.810000002,0,0,0,0,195,0,1,0
