age,name,counts_pictures,counts_profileVisits,counts_kisses,flirtInterests_chat,flirtInterests_friends,flirtInterests_date,isVIP,isVerified,lang_count,lang_fr,lang_en,lang_de,lang_it,lang_es,lang_pt,city,countDetails,crypt,flirtstar,freshman,hasBirthday,highlighted,distance,locked,mobile,online
23,Bernadette,20,23177,1194,FALSE,FALSE,TRUE,FALSE,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Wettingen,1,FALSE,FALSE,FALSE,FALSE,FALSE,166,FALSE,TRUE,FALSE
23,Honigbär,1,52,0,TRUE,FALSE,TRUE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Michelbach an der Bilz,0.540000021,FALSE,FALSE,FALSE,FALSE,FALSE,371,FALSE,TRUE,TRUE
20,Yara,13,4829,348,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Sexau,1,FALSE,FALSE,FALSE,FALSE,FALSE,198,FALSE,TRUE,FALSE
20,VioLa_,4,31435,1978,TRUE,TRUE,TRUE,FALSE,FALSE,2,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Bremgarten bei Bern,0.419999987,FALSE,FALSE,FALSE,FALSE,FALSE,79.69999695,FALSE,TRUE,FALSE
24,Angelina_ink,27,28159,638,TRUE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Radolfzell am Bodensee,0.769999981,FALSE,FALSE,FALSE,FALSE,FALSE,161,FALSE,TRUE,FALSE
22,lisa,11,5550,450,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Freiburg im Breisgau,1,FALSE,FALSE,FALSE,FALSE,FALSE,144,FALSE,TRUE,TRUE
19,colore,8,1255,52,TRUE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Zug,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,160,FALSE,TRUE,FALSE
23,Chrissy,4,5177,467,TRUE,TRUE,TRUE,FALSE,TRUE,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Dubendorf,0.959999979,FALSE,FALSE,FALSE,FALSE,FALSE,178,FALSE,TRUE,TRUE
26,Agnieszka,11,25845,1898,TRUE,TRUE,TRUE,FALSE,FALSE,5,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Sindelfingen,0.730000019,FALSE,FALSE,FALSE,FALSE,FALSE,302,FALSE,TRUE,TRUE
25,Nicole1989,7,8143,317,FALSE,FALSE,TRUE,FALSE,TRUE,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Köln,0.959999979,FALSE,FALSE,FALSE,FALSE,FALSE,495,FALSE,TRUE,TRUE
